architecture	signal_strength	source_regime	method	dominant_source_fraction	mean_dependency_group_size	label_noise_fraction	metric	successes	replicates	rate	ci95_low	ci95_high	mean_margin	median_margin
full	0.35	homogeneous	source_equal_dependency_collapsed	0.5	1	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.19765264269045957	0.19693864816158105
full	0.35	homogeneous	source_equal_dependency_collapsed	0.5	1	0.15	full_route_recovered	350	400	0.875	0.8385413405693943	0.905781485313414	0.10571647900975269	0.1065646615610486
full	0.35	homogeneous	source_equal_dependency_collapsed	0.5	1	0.3	full_route_recovered	129	400	0.3225	0.27690439153249924	0.37074620942673303	0.035195165784756434	0.0359350813631635
full	0.35	homogeneous	source_equal_dependency_collapsed	0.5	5	0.0	full_route_recovered	398	400	0.995	0.9820558553944145	0.9993939021906778	0.1961116053679895	0.19558153023666555
full	0.35	homogeneous	source_equal_dependency_collapsed	0.5	5	0.15	full_route_recovered	396	400	0.99	0.9745951990926638	0.9972688040287571	0.1182839281843426	0.11787216845064799
full	0.35	homogeneous	source_equal_dependency_collapsed	0.5	5	0.3	full_route_recovered	296	400	0.74	0.6940867977843044	0.7823213717934455	0.05099531805902692	0.052391467080408746
full	0.35	homogeneous	source_equal_dependency_collapsed	0.5	15	0.0	full_route_recovered	398	400	0.995	0.9820558553944145	0.9993939021906778	0.2002620205381997	0.2005563695368039
full	0.35	homogeneous	source_equal_dependency_collapsed	0.5	15	0.15	full_route_recovered	397	400	0.9925	0.9782393314855828	0.9984506410500943	0.11882898068134205	0.1188447327478559
full	0.35	homogeneous	source_equal_dependency_collapsed	0.5	15	0.3	full_route_recovered	365	400	0.9125	0.8804098566696346	0.9382964542367502	0.05698446865303834	0.058523553154975996
full	0.35	homogeneous	source_equal_dependency_collapsed	0.85	1	0.0	full_route_recovered	301	400	0.7525	0.7071807630306682	0.7940381191299262	0.17059932269237543	0.17223089595033925
full	0.35	homogeneous	source_equal_dependency_collapsed	0.85	1	0.15	full_route_recovered	135	400	0.3375	0.291263828310552	0.3861618399001938	0.0814680671069535	0.08178308804354155
full	0.35	homogeneous	source_equal_dependency_collapsed	0.85	1	0.3	full_route_recovered	43	400	0.1075	0.07889779765376308	0.14206282395589742	0.011414795025323023	0.01569122763898515
full	0.35	homogeneous	source_equal_dependency_collapsed	0.85	5	0.0	full_route_recovered	311	400	0.7775	0.733512367480889	0.8173264856181306	0.1729707047092326	0.17893969993300346
full	0.35	homogeneous	source_equal_dependency_collapsed	0.85	5	0.15	full_route_recovered	216	400	0.54	0.48976592177597206	0.5896380120211183	0.09145347961745141	0.0925649289076244
full	0.35	homogeneous	source_equal_dependency_collapsed	0.85	5	0.3	full_route_recovered	115	400	0.2875	0.2436119135366227	0.3345648444752717	0.03284827628229877	0.0327444058825594
full	0.35	homogeneous	source_equal_dependency_collapsed	0.85	15	0.0	full_route_recovered	305	400	0.7625	0.7176896924782317	0.8033774298938208	0.17258885790803113	0.1737326214779049
